iter	Passed	Remaining
0	1	366
1	3	362
2	5	357
3	7	351
4	9	365
5	11	374
6	13	377
7	15	376
8	17	372
9	19	367
10	21	363
11	22	359
12	24	358
13	26	355
14	28	350
15	30	348
16	32	348
17	34	346
18	36	344
19	37	340
20	39	337
21	41	335
22	43	331
23	44	328
24	46	326
25	48	324
26	50	322
27	52	320
28	54	319
29	55	317
30	57	315
31	59	312
32	61	311
33	63	308
34	65	307
35	66	304
36	68	303
37	70	301
38	72	299
39	74	296
40	76	294
41	77	292
42	80	292
43	81	290
44	83	287
45	85	285
46	87	283
47	89	282
48	90	280
49	92	278
50	94	276
51	96	274
52	98	272
53	99	270
54	101	268
55	103	267
56	105	265
57	107	263
58	109	261
59	111	259
60	112	257
61	114	255
62	116	253
63	118	251
64	120	249
65	121	247
66	123	245
67	125	244
68	127	242
69	129	240
70	131	238
71	133	236
72	134	234
73	136	232
74	138	231
75	140	229
76	142	227
77	144	225
78	146	224
79	148	222
80	150	220
81	151	218
82	153	217
83	155	215
84	157	213
85	159	211
86	161	209
87	163	207
88	165	206
89	167	204
90	169	202
91	170	200
92	172	198
93	174	197
94	176	195
95	178	193
96	180	191
97	182	189
98	184	188
99	186	186
100	188	184
101	190	183
102	192	181
103	194	179
104	196	177
105	198	175
106	200	173
107	202	172
108	204	170
109	205	168
110	207	166
111	209	164
112	211	162
113	213	160
114	215	159
115	217	157
116	218	155
117	220	153
118	222	151
119	224	149
120	226	147
121	228	145
122	230	144
123	232	142
124	234	140
125	235	138
126	237	136
127	239	134
128	241	133
129	243	131
130	245	129
131	247	127
132	249	125
133	251	123
134	253	121
135	254	119
136	256	118
137	258	116
138	260	114
139	262	112
140	264	110
141	265	108
142	267	106
143	269	104
144	271	103
145	273	101
146	275	99
147	277	97
148	279	95
149	281	93
150	283	91
151	284	89
152	286	88
153	288	86
154	290	84
155	292	82
156	294	80
157	295	78
158	297	76
159	299	74
160	301	72
161	303	71
162	305	69
163	307	67
164	309	65
165	310	63
166	312	61
167	314	59
168	316	58
169	318	56
170	320	54
171	322	52
172	323	50
173	325	48
174	327	46
175	329	44
176	331	43
177	333	41
178	335	39
179	337	37
180	339	35
181	340	33
182	342	31
183	344	29
184	346	28
185	348	26
186	350	24
187	352	22
188	354	20
189	356	18
190	357	16
191	359	14
192	361	13
193	363	11
194	365	9
195	367	7
196	369	5
197	371	3
198	373	1
199	375	0
